Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Weather_Impact,Traffic_Multiplier,is_morning_rush,is_evening_rush,is_peak_hours,is_weekend,high_impact_trip,condition_score,distance_x_conditions
19.35,3.0,3.56,0.8,0.32,53.82,36.2624,1.0,1.0,1,0,1,0,0,1.0,19.35
36.87,1.0,2.7,1.21,0.15,37.27,52.9032,1.0,1.25,0,1,1,1,1,1.25,46.0875
30.33,4.0,3.48,0.51,0.15,116.81,36.4698,1.0,1.0,0,1,1,0,0,1.0,30.33
25.83,3.0,2.93,0.63,0.32,22.64,15.618000000000002,1.0,1.25,0,1,1,0,1,1.25,32.287499999999994
8.64,2.0,2.55,1.71,0.48,89.33,60.2028,1.0,1.1,0,0,0,1,0,1.1,9.504000000000001
3.85,4.0,3.51,1.66,0.29,5.05,11.2645,1.15,1.25,0,0,0,0,1,1.4375,5.534375
43.44,3.0,2.97,1.87,0.23,61.86,101.1216,1.0,1.0,0,1,1,1,0,1.0,43.44
35.7,2.0,3.39,1.52,0.47,61.86,75.5657,1.15,1.0,0,0,0,0,0,1.15,41.055
25.83,4.0,2.4,0.58,0.43,26.34,14.892,1.0,1.0,1,0,1,0,0,1.0,25.83
41.79,3.0,4.6,1.77,0.11,86.95,88.13279999999999,1.0,1.25,0,0,0,1,1,1.25,52.2375
11.4,3.0,4.12,1.22,0.15,84.12,36.118,1.0,1.0,1,0,1,0,0,1.0,11.4
9.91,2.0,2.32,1.26,0.34,41.72,28.9914,1.0,1.25,0,1,1,0,1,1.25,12.3875
9.99,4.0,4.33,0.85,0.43,34.0,27.4415,1.0,1.25,0,0,0,0,1,1.25,12.4875
15.91,4.0,4.42,1.77,0.21,114.93,56.716,1.0,1.0,1,0,1,0,0,1.0,15.91
26.71,4.0,4.3,1.59,0.2,111.18,69.0049,1.15,1.0,0,0,0,1,0,1.15,30.7165
22.17,4.0,2.34,1.97,0.41,57.59,69.6268,1.0,1.0,0,0,0,0,0,1.0,22.17
15.27,1.0,3.93,0.73,0.12,61.86,27.3543,1.0,1.0,1,0,1,0,0,1.0,15.27
30.98,1.0,4.5,0.84,0.25,57.02,44.7782,1.15,1.0,0,0,0,1,0,1.15,35.626999999999995
7.84,4.0,3.73,0.82,0.3,53.8,26.2988,1.0,1.1,1,0,1,0,0,1.1,8.624
105.94355003672597,2.0,3.94,1.69,0.32,23.03,201.869509186128,1.15,1.0,0,0,0,1,0,1.15,121.83508254223486
18.95,1.0,3.38,0.78,0.39,54.04,39.2366,1.0,1.0,0,0,0,0,0,1.0,18.95
23.35,3.0,3.59,0.6,0.24,66.8,33.632000000000005,1.15,1.0,0,0,0,0,0,1.15,26.8525
39.47,1.0,3.52,1.22,0.35,7.59,83.69649999999999,1.0,1.0,0,0,0,0,0,1.0,39.47
10.78,3.0,3.92,0.54,0.33,56.07,28.2443,1.15,1.25,0,1,1,0,1,1.4375,15.49625
30.03,1.0,3.31,1.05,0.36,83.21,64.7971,1.0,1.25,0,0,0,0,1,1.25,37.5375
3.28,2.0,2.88,1.76,0.2,78.04,24.260800000000003,1.0,1.1,0,1,1,0,0,1.1,3.608
30.77,1.0,3.64,1.33,0.13,109.6,58.8121,1.0,1.0,1,0,1,0,0,1.0,30.77
9.36,1.0,2.4,1.85,0.15,7.07,20.7765,1.0,1.1,0,0,0,0,0,1.1,10.296
47.5,1.0,4.39,0.51,0.3,95.55,57.28,1.0,1.0,1,0,1,1,0,1.0,47.5
48.32,2.0,2.49,0.61,0.44,67.25,61.5552,1.0,1.0,1,0,1,0,0,1.0,48.32
